"timezone","abbreviation","dst","dst_offset","raw_offset","utc_offset"
"Africa/Abidjan","GMT","false","0","0","+00:00"
"Africa/Accra","GMT","false","0","0","+00:00"
"Africa/Algiers","CET","false","0","3600","+01:00"
"Africa/Bissau","GMT","false","0","0","+00:00"
"Africa/Cairo","EET","false","0","7200","+02:00"
"Africa/Casablanca","+01","false","0","3600","+01:00"
"Africa/Ceuta","CEST","true","3600","3600","+02:00"
"Africa/El_Aaiun","+01","false","0","3600","+01:00"
"Africa/Johannesburg","SAST","false","0","7200","+02:00"
"Africa/Juba","CAT","false","0","7200","+02:00"
"Africa/Khartoum","CAT","false","0","7200","+02:00"
"Africa/Lagos","WAT","false","0","3600","+01:00"
"Africa/Maputo","CAT","false","0","7200","+02:00"
"Africa/Monrovia","GMT","false","0","0","+00:00"
"Africa/Nairobi","EAT","false","0","10800","+03:00"
"Africa/Ndjamena","WAT","false","0","3600","+01:00"
"Africa/Sao_Tome","GMT","false","0","0","+00:00"
"Africa/Tripoli","EET","false","0","7200","+02:00"
"Africa/Tunis","CET","false","0","3600","+01:00"
"Africa/Windhoek","CAT","false","0","7200","+02:00"
"America/Adak","HDT","true","3600","-36000","-09:00"
"America/Anchorage","AKDT","true","3600","-32400","-08:00"
"America/Araguaina","-03","false","0","-10800","-03:00"
"America/Argentina/Buenos_Aires","-03","false","0","-10800","-03:00"
"America/Argentina/Catamarca","-03","false","0","-10800","-03:00"
"America/Argentina/Cordoba","-03","false","0","-10800","-03:00"
"America/Argentina/Jujuy","-03","false","0","-10800","-03:00"
"America/Argentina/La_Rioja","-03","false","0","-10800","-03:00"
"America/Argentina/Mendoza","-03","false","0","-10800","-03:00"
"America/Argentina/Rio_Gallegos","-03","false","0","-10800","-03:00"
"America/Argentina/Salta","-03","false","0","-10800","-03:00"
"America/Argentina/San_Juan","-03","false","0","-10800","-03:00"
"America/Argentina/San_Luis","-03","false","0","-10800","-03:00"
"America/Argentina/Tucuman","-03","false","0","-10800","-03:00"
"America/Argentina/Ushuaia","-03","false","0","-10800","-03:00"
"America/Asuncion","-04","false","0","-14400","-04:00"
"America/Atikokan","EST","false","0","-18000","-05:00"
"America/Bahia","-03","false","0","-10800","-03:00"
"America/Bahia_Banderas","CDT","true","3600","-21600","-05:00"
"America/Barbados","AST","false","0","-14400","-04:00"
"America/Belem","-03","false","0","-10800","-03:00"
"America/Belize","CST","false","0","-21600","-06:00"
"America/Blanc-Sablon","AST","false","0","-14400","-04:00"
"America/Boa_Vista","-04","false","0","-14400","-04:00"
"America/Bogota","-05","false","0","-18000","-05:00"
"America/Boise","MDT","true","3600","-25200","-06:00"
"America/Cambridge_Bay","MDT","true","3600","-25200","-06:00"
"America/Campo_Grande","-04","false","0","-14400","-04:00"
"America/Cancun","EST","false","0","-18000","-05:00"
"America/Caracas","-04","false","0","-14400","-04:00"
"America/Cayenne","-03","false","0","-10800","-03:00"
"America/Chicago","CDT","true","3600","-21600","-05:00"
"America/Chihuahua","MDT","true","3600","-25200","-06:00"
"America/Costa_Rica","CST","false","0","-21600","-06:00"
"America/Creston","MST","false","0","-25200","-07:00"
"America/Cuiaba","-04","false","0","-14400","-04:00"
"America/Curacao","AST","false","0","-14400","-04:00"
"America/Danmarkshavn","GMT","false","0","0","+00:00"
"America/Dawson","MST","false","0","-25200","-07:00"
"America/Dawson_Creek","MST","false","0","-25200","-07:00"
"America/Denver","MDT","true","3600","-25200","-06:00"
