open,close,date,volume,symbol,timestamp,low,high
7.08,10.58,2011-03-03,7720,CCL,1299110400,7.08,10.58
10.58,10.31,2011-03-07,2110,CCL,1299456000,10.08,10.58
9.81,9.81,2011-03-08,30,CCL,1299542400,9.81,9.81
9.35,9.35,2011-03-09,10,CCL,1299628800,9.35,9.35
8.88,8.88,2011-03-10,10,CCL,1299715200,8.88,8.88
8.46,8.46,2011-03-11,120,CCL,1299801600,8.46,8.46
8.04,8.04,2011-03-14,10,CCL,1300060800,8.04,8.04
7.65,7.65,2011-03-15,130,CCL,1300147200,7.65,7.65
7.31,7.31,2011-03-16,10,CCL,1300233600,7.31,7.31
6.96,6.96,2011-03-17,10,CCL,1300320000,6.96,6.96
6.62,6.62,2011-03-18,180,CCL,1300406400,6.62,6.62
6.31,6.31,2011-03-21,610,CCL,1300665600,6.31,6.31
6,6,2011-03-22,10,CCL,1300752000,6,6
5.73,5.73,2011-03-23,6720,CCL,1300838400,5.73,5.73
5.46,5.46,2011-03-24,6540,CCL,1300924800,5.46,5.73
5.19,5.58,2011-03-25,15260,CCL,1301011200,5.19,5.58
5.58,5.62,2011-03-28,7840,CCL,1301270400,5.58,5.62
5.35,5.35,2011-03-29,2320,CCL,1301356800,5.35,5.88
5.15,5.5,2011-03-30,640,CCL,1301443200,5.15,5.58
5.38,5.58,2011-03-31,1220,CCL,1301529600,5.38,5.65
5.58,5.31,2011-04-01,1240,CCL,1301616000,5.31,5.58
5.46,5.12,2011-04-05,2180,CCL,1301961600,5.12,5.46
5.19,5.15,2011-04-06,860,CCL,1302048000,4.88,5.19
4.92,4.92,2011-04-07,1230,CCL,1302134400,4.92,4.92
4.69,4.69,2011-04-08,960,CCL,1302220800,4.69,4.92
4.62,4.65,2011-04-13,1700,CCL,1302652800,4.62,4.65
4.54,4.65,2011-04-14,270,CCL,1302739200,4.54,4.65
4.81,4.81,2011-04-15,1730,CCL,1302825600,4.5,4.81
4.88,4.88,2011-04-19,10,CCL,1303171200,4.88,4.88
4.92,4.92,2011-04-20,10,CCL,1303257600,4.92,4.92
4.81,5.08,2011-04-25,1320,CCL,1303689600,4.81,5.08
5.08,5.12,2011-04-28,580,CCL,1303948800,5.08,5.12
5.12,5.12,2011-04-29,100,CCL,1304035200,5.12,5.12
4.92,4.92,2011-05-04,20,CCL,1304467200,4.92,4.92
5.15,5,2011-05-05,110,CCL,1304553600,5,5.15
4.77,5.08,2011-05-09,20,CCL,1304899200,4.77,5.08
4.88,4.85,2011-05-10,2040,CCL,1304985600,4.85,4.88
4.62,4.62,2011-05-11,800,CCL,1305072000,4.62,4.62
4.62,4.62,2011-05-13,20,CCL,1305244800,4.62,4.62
4.85,4.85,2011-05-19,10,CCL,1305763200,4.85,4.85
5.08,5.08,2011-05-20,10,CCL,1305849600,5.08,5.08
5.35,5.35,2011-05-24,10,CCL,1306195200,5.35,5.35
5.54,5.54,2011-05-25,300,CCL,1306281600,5.54,5.54
5.35,5.35,2011-05-26,200,CCL,1306368000,5.35,5.35
5.1,5.1,2011-05-27,190,CCL,1306454400,5.1,5.1
5.14,5.14,2011-05-30,100,CCL,1306713600,5.14,5.14
5.14,5.14,2011-05-31,100,CCL,1306800000,5.14,5.14
5.14,4.97,2011-06-01,210,CCL,1306886400,4.97,5.14
5.18,4.97,2011-06-02,45610,CCL,1306972800,4.77,5.22
5.22,5.18,2011-06-03,200,CCL,1307059200,5.18,5.22
5.39,5.39,2011-06-06,100,CCL,1307318400,5.39,5.39
5.59,5.14,2011-06-07,68310,CCL,1307404800,5.14,5.59
5.26,5.18,2011-06-08,66400,CCL,1307491200,5.1,5.26
5.18,4.97,2011-06-09,68200,CCL,1307577600,4.97,5.18
5.1,4.77,2011-06-10,290,CCL,1307664000,4.77,5.1
4.97,4.56,2011-06-13,4810,CCL,1307923200,4.56,4.97
4.77,4.64,2011-06-14,5600,CCL,1308009600,4.35,4.77
4.77,4.64,2011-06-15,1590,CCL,1308096000,4.43,4.85
4.77,4.77,2011-06-16,280,CCL,1308182400,4.43,4.77
4.56,4.56,2011-06-17,110,CCL,1308268800,4.56,4.56
4.72,4.72,2011-06-20,320,CCL,1308528000,4.64,4.72
4.64,4.72,2011-06-21,4100,CCL,1308614400,4.52,4.81
4.81,4.72,2011-06-22,40,CCL,1308700800,4.72,4.81
4.72,4.72,2011-06-23,180,CCL,1308787200,4.72,4.72
4.72,4.52,2011-06-24,50,CCL,1308873600,4.52,4.72
4.68,4.35,2011-06-27,1260,CCL,1309132800,4.31,4.68
4.52,4.52,2011-06-28,40,CCL,1309219200,4.52,4.52
4.68,4.68,2011-06-29,150,CCL,1309305600,4.68,4.68
4.72,4.56,2011-06-30,400,CCL,1309392000,4.56,4.72
4.68,4.68,2011-07-01,100,CCL,1309478400,4.68,4.68
4.68,4.68,2011-07-04,100,CCL,1309737600,4.68,4.68
4.68,4.68,2011-07-05,100,CCL,1309824000,4.68,4.68
4.68,4.68,2011-07-06,100,CCL,1309910400,4.68,4.68
4.68,4.68,2011-07-07,400,CCL,1309996800,4.56,4.68
4.68,4.68,2011-07-08,100,CCL,1310083200,4.68,4.68
4.68,4.68,2011-07-11,240,CCL,1310342400,4.56,4.68
4.68,4.68,2011-07-12,30,CCL,1310428800,4.68,4.68
4.68,4.68,2011-07-13,50,CCL,1310515200,4.68,4.68
4.68,4.68,2011-07-14,50,CCL,1310601600,4.68,4.68
4.48,4.48,2011-07-15,600,CCL,1310688000,4.48,4.48
4.56,4.56,2011-07-18,400,CCL,1310947200,4.56,4.56
4.56,4.6,2011-07-19,300,CCL,1311033600,4.56,4.6
4.6,4.6,2011-07-20,100,CCL,1311120000,4.6,4.6
4.6,4.48,2011-07-21,1700,CCL,1311206400,4.39,4.6
4.48,4.68,2011-07-22,1390,CCL,1311292800,4.31,4.68
4.68,4.48,2011-07-25,300,CCL,1311552000,4.48,4.68
4.56,4.56,2011-07-26,120,CCL,1311638400,4.56,4.56
4.35,4.35,2011-07-27,110,CCL,1311724800,4.35,4.35
4.14,4.14,2011-07-28,110,CCL,1311811200,4.14,4.14
4.14,4.23,2011-07-29,110,CCL,1311897600,4.14,4.23
4.06,4.06,2011-08-02,40,CCL,1312243200,4.06,4.06
4.19,4.19,2011-08-03,20,CCL,1312329600,4.19,4.19
4.27,4.27,2011-08-05,10,CCL,1312502400,4.27,4.27
4.39,4.39,2011-08-12,10,CCL,1313107200,4.39,4.39
4.43,4.43,2011-08-17,4690,CCL,1313539200,4.23,4.43
4.52,4.23,2011-08-18,20,CCL,1313625600,4.23,4.52
4.43,4.43,2011-08-19,10,CCL,1313712000,4.43,4.43
4.35,4.35,2011-08-22,10,CCL,1313971200,4.35,4.35
4.35,4.23,2011-08-23,30,CCL,1314057600,4.14,4.35
